Date,Returns,Historical_VaR,Historical_ES,LSTM_VaR,LSTM_ES,MonteCarlo_VaR,MonteCarlo_ES,Historical_VaR_Breach,LSTM_VaR_Breach,MonteCarlo_VaR_Breach,Is_Stress_Period
2020-02-27,-0.049891444383104874,-0.015289488342577097,-0.024815809137307306,-0.06507144250264404,-0.07905918953953851,-0.01473459793279929,-0.01897857578011821,True,False,True,True
2020-02-28,-0.00042533002047534876,-0.015397532474866703,-0.02549291838543678,-0.0729611528193721,-0.08810200575592302,-0.015639855757925716,-0.019161288590800952,False,False,False,True
2020-03-02,0.04650653276672953,-0.015397532474866703,-0.02549291838543678,-0.0655598704579211,-0.07494104309472062,-0.01501927323016181,-0.019778971336450804,False,False,False,True
2020-03-03,-0.029299508762661877,-0.015397532474866703,-0.02549291838543678,-0.04650716787478626,-0.05492641747732154,-0.015936674933785408,-0.019632740634456705,True,False,True,True
2020-03-04,0.042044096939236934,-0.015801172583228183,-0.025765097983501312,-0.0434840427140147,-0.05266399113985146,-0.016947411455673116,-0.02104281087077501,False,False,False,True
2020-03-05,-0.035305540268255,-0.015801172583228183,-0.025765097983501312,-0.0284663192874346,-0.03540516175941924,-0.017318929823759432,-0.022251891367015754,True,True,True,True
2020-03-06,-0.01895325901776983,-0.016030741082548313,-0.0261434946903676,-0.0421589144229115,-0.05035039906221739,-0.017159428118639145,-0.021858609341066183,True,False,True,True
2020-03-09,-0.0825852824806557,-0.016440753171510995,-0.02620055155779831,-0.04613420865837882,-0.05483276793691157,-0.016930780820662735,-0.02259288097969709,True,True,True,True
2020-03-10,0.052343914321172545,-0.016705661346707205,-0.02749330739530951,-0.06906320090911074,-0.08290826823080462,-0.020080699342604407,-0.024548108841484534,False,False,False,True
2020-03-11,-0.04928738338061155,-0.016705661346707205,-0.02749330739530951,-0.053406249404458914,-0.0664636760691182,-0.020904486372389394,-0.026337113343879892,True,False,True,True
2020-03-12,-0.10445973306349465,-0.01690716513197741,-0.0281316270037362,-0.07145264619442455,-0.08593230827556894,-0.02091202243012575,-0.02631396430013062,True,True,True,True
2020-03-13,0.09079180956949418,-0.017037063596851452,-0.029846506054478035,-0.0774556276911891,-0.09346675239277741,-0.02495160474735666,-0.03049413720638037,False,False,False,True
2020-03-16,-0.1375587016701334,-0.017037063596851452,-0.029846506054478035,-0.06232020755188965,-0.07530046182628415,-0.02575397632418999,-0.03232267723783376,True,True,True,True
2020-03-17,0.055662775728468124,-0.01716156587401693,-0.032209293626279445,-0.07663088576180435,-0.09198934777298601,-0.029538344439367068,-0.03873824812886971,False,False,False,True
2020-03-18,-0.06052819341932205,-0.01716156587401693,-0.032209293626279445,-0.06534265240704124,-0.079860147441113,-0.03133033660282306,-0.038321097042047475,True,False,True,True
2020-03-19,0.020109987979222435,-0.01738262526724659,-0.033058510738690726,-0.07335142115316744,-0.0869281988306761,-0.03179513109728456,-0.039562590783188384,False,False,False,True
2020-03-20,-0.04105267566721704,-0.01738262526724659,-0.033058510738690726,-0.06967167021059321,-0.0844335099306649,-0.03181662826441433,-0.0384181220367835,True,False,True,True
2020-03-23,-0.021109241572517312,-0.017554766403463443,-0.03352089252320553,-0.0700480702170151,-0.08480440570324467,-0.02997959243366103,-0.037877661955769665,True,False,False,False
2020-03-24,0.0982561852701801,-0.01765427495162379,-0.033589705864038394,-0.07027603609653209,-0.08588561244121803,-0.03169669022791326,-0.0381881885062988,False,False,False,False
2020-03-25,0.009662501638329017,-0.01765427495162379,-0.033589705864038394,-0.05253106952258261,-0.06396840467308644,-0.03463426118596154,-0.04267227470597987,False,False,False,False
2020-03-26,0.0573907343976019,-0.01765427495162379,-0.033589705864038394,-0.044917182784625836,-0.054637582620530194,-0.031237186544120988,-0.03723064697808507,False,False,False,False
2020-03-27,-0.03548136644394518,-0.01765427495162379,-0.033589705864038394,-0.028526947216557005,-0.036231562142778555,-0.034251958296657045,-0.04225025957228661,True,True,True,False
2020-03-30,0.031579763165022146,-0.017710834637240033,-0.033938681117536285,-0.04233747955279797,-0.05094111736744926,-0.03315860271609199,-0.04222661959053349,False,False,False,False
2020-03-31,-0.011930136503502988,-0.017710834637240033,-0.033938681117536285,-0.028529883420184875,-0.03510832661005434,-0.03457464775647827,-0.04436124187861514,False,False,False,False
2020-04-01,-0.05043272508351441,-0.017710834637240033,-0.033938681117536285,-0.039470735059486096,-0.047467879817800256,-0.03476921611431262,-0.04265412308420746,True,True,True,False
2020-04-02,0.022031972215927762,-0.017845242432653615,-0.0345799995684409,-0.05390593438256957,-0.0641236752460872,-0.03225445552609296,-0.04146987138693173,False,False,False,False
2020-04-03,-0.01742036716468749,-0.017845242432653615,-0.0345799995684409,-0.0433274006132478,-0.05533377410855073,-0.03418935105923298,-0.0431895438055153,False,False,False,False
2020-04-06,0.07385282801568765,-0.017845242432653615,-0.0345799995684409,-0.04860540727889012,-0.06143695984641154,-0.03277013326256559,-0.04201363625584492,False,False,False,False
2020-04-07,-0.0017349221088327094,-0.017845242432653615,-0.0345799995684409,-0.028429637480473106,-0.034928802425304585,-0.03607836649296905,-0.044841733033788495,False,False,False,False
2020-04-08,0.03193592595638423,-0.017845242432653615,-0.0345799995684409,-0.02962825899602185,-0.03730024652203024,-0.03095998108575191,-0.03988699398312668,False,False,False,False
2020-04-09,0.011399362885180578,-0.017845242432653615,-0.0345799995684409,-0.02865533103223186,-0.03314680541126446,-0.03527868273135052,-0.045248332782183036,False,False,False,False
2020-04-13,-0.0018996351512451139,-0.017845242432653615,-0.0345799995684409,-0.032249688145894045,-0.038766234003699586,-0.034510113174346366,-0.04429476371576691,False,False,False,False
2020-04-14,0.03444100874931198,-0.017845242432653615,-0.0345799995684409,-0.03307737996989398,-0.03949842648429265,-0.03615342767878976,-0.04426405428790358,False,False,False,False
2020-04-15,-0.02005383071073888,-0.017845242432653615,-0.0345799995684409,-0.030219159157024764,-0.03542525732546162,-0.03410606171610736,-0.042615586045308664,True,False,False,False
2020-04-16,0.00811728226224119,-0.017993785657871623,-0.034622040804033936,-0.03130182848588002,-0.037712371757237295,-0.03325096605580437,-0.041568993320544714,False,False,False,False
2020-04-17,0.023570096738285133,-0.017993785657871623,-0.034622040804033936,-0.02893790486559078,-0.035872711246608104,-0.03302047618929892,-0.04131833902240274,False,False,False,False
