Date,Portfolio,Actual_Returns,LSTM_Predicted_Returns,Historical_VaR,Historical_ES,LSTM_VaR,LSTM_ES,MonteCarlo_VaR,MonteCarlo_ES,Historical_VaR_Breach,LSTM_VaR_Breach,MonteCarlo_VaR_Breach,Historical_ES_Breach,LSTM_ES_Breach,MonteCarlo_ES_Breach
2024-06-06 00:00:00,S&P 500 (Market-Cap-Weight),3.034084483858519e-05,-0.004029131704412102,-0.019159941707563,-0.02884299855186605,-0.015459308138678898,-0.018745722258788206,-0.011457098899805914,-0.014097440324599857,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-07 00:00:00,S&P 500 (Market-Cap-Weight),-0.0015284889320685466,-0.0036446118061825984,-0.019159941707563,-0.02884299855186605,-0.014808513789120466,-0.017800390168726782,-0.011379443387565708,-0.01421109761394802,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-10 00:00:00,S&P 500 (Market-Cap-Weight),0.0021422038090659567,-0.004268127557197452,-0.019159941707563,-0.02884299855186605,-0.015740139960626728,-0.01884215626149132,-0.012196337608270609,-0.015139838379162432,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-11 00:00:00,S&P 500 (Market-Cap-Weight),0.0027968317243766442,-0.004153973353829729,-0.019159941707563,-0.02884299855186605,-0.01649675140001169,-0.020009106018304537,-0.010526158209982525,-0.014086867027190204,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-12 00:00:00,S&P 500 (Market-Cap-Weight),0.009520816953570667,-0.004038063335199662,-0.019159941707563,-0.02884299855186605,-0.015599867488519534,-0.01847265088069121,-0.01175912582260257,-0.01534789712275475,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-13 00:00:00,S&P 500 (Market-Cap-Weight),0.0024423580775775004,-0.0034701687941875886,-0.018862287892813343,-0.028039733259904415,-0.014452525656778193,-0.017272963084644884,-0.012140576781571523,-0.01576899065244599,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-14 00:00:00,S&P 500 (Market-Cap-Weight),0.00027620309241401436,-0.0034973716583470604,-0.018862287892813343,-0.028039733259904415,-0.014876780991283424,-0.01762794874581744,-0.011108038938260983,-0.014151216834562884,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-17 00:00:00,S&P 500 (Market-Cap-Weight),0.008079505163495688,-0.004251843447073093,-0.018862287892813343,-0.028039733259904415,-0.015071693674325502,-0.01832573197164609,-0.010738757632897465,-0.013902579246084179,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-18 00:00:00,S&P 500 (Market-Cap-Weight),0.0021424173755650003,-0.003948478510268825,-0.018862287892813343,-0.028039733259904415,-0.014271994658492198,-0.0171918757842095,-0.010510731045802722,-0.013769790579909878,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-20 00:00:00,S&P 500 (Market-Cap-Weight),-0.002070427229663988,-0.0036914988290029796,-0.018862287892813343,-0.028039733259904415,-0.01562307802458695,-0.018540591127889947,-0.011681166415337944,-0.014879117866508706,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-21 00:00:00,S&P 500 (Market-Cap-Weight),-0.0005577861432124,-0.004220762807717422,-0.018862287892813343,-0.028039733259904415,-0.015656584312468,-0.0186255847416106,-0.011455104115489247,-0.014795354972137626,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-24 00:00:00,S&P 500 (Market-Cap-Weight),-0.0036587355747594434,-0.004686515485272283,-0.018862287892813343,-0.028039733259904415,-0.017025628829069817,-0.020178455839080435,-0.0108016197023146,-0.0137914730292118,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-25 00:00:00,S&P 500 (Market-Cap-Weight),0.004913920720320311,-0.004569925451974841,-0.018862287892813343,-0.028039733259904415,-0.017186427661361962,-0.020937725392311826,-0.010985410229069487,-0.014869702734421281,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-26 00:00:00,S&P 500 (Market-Cap-Weight),0.002664074378504566,-0.0036851210289624153,-0.018862287892813343,-0.028039733259904415,-0.01563637584384595,-0.019034610799103485,-0.011396496677845482,-0.01491558623275349,0.0,0.0,0.0,0.0,0.0,0.0
