,Mean_Weight,Std_Weight,Max_Weight,Min_Weight,Weight_Turnover
DHI,,,,,
DHR,,,,,
DIS,,,,,
DLR,,,,,
DLTR,,,,,
DOC,,,,,
DOV,,,,,
DPZ,,,,,
DRI,,,,,
DTE,,,,,
DUK,,,,,
DVA,,,,,
DVN,,,,,
DXCM,,,,,
EA,,,,,
EBAY,,,,,
ECL,,,,,
ED,,,,,
EFX,,,,,
EG,,,,,
EIX,,,,,
EL,,,,,
ELV,,,,,
EMN,,,,,
EMR,,,,,
EOG,,,,,
EQIX,,,,,
EQR,,,,,
EQT,,,,,
ERIE,,,,,
ES,,,,,
ESS,,,,,
ETN,,,,,
ETR,,,,,
EVRG,,,,,
EW,,,,,
EXC,,,,,
EXPD,,,,,
EXPE,,,,,
EXR,,,,,
F,,,,,
FAST,,,,,
FCX,,,,,
FDS,,,,,
FDX,,,,,
FE,,,,,
FFIV,,,,,
FI,,,,,
FICO,,,,,
FIS,,,,,
FITB,,,,,
FMC,,,,,
FRT,,,,,
FSLR,,,,,
FTNT,,,,,
GD,,,,,
GE,,,,,
GEN,,,,,
GILD,,,,,
GIS,,,,,
GL,,,,,
GLW,,,,,
GNRC,,,,,
GOOG,,,,,
GOOGL,,,,,
GPC,,,,,
GPN,,,,,
GRMN,,,,,
GS,,,,,
GWW,,,,,
HAL,,,,,
HAS,,,,,
HBAN,,,,,
HD,,,,,
HES,,,,,
HIG,,,,,
HOLX,,,,,
HON,,,,,
HPQ,,,,,
HRL,,,,,
HSIC,,,,,
HST,,,,,
HSY,,,,,
HUBB,,,,,
HUM,,,,,
IBM,,,,,
ICE,,,,,
IDXX,,,,,
IEX,,,,,
IFF,,,,,
INCY,,,,,
INTC,,,,,
INTU,,,,,
IP,,,,,
IPG,,,,,
IRM,,,,,
ISRG,,,,,
IT,,,,,
ITW,,,,,
IVZ,,,,,
J,,,,,
JBHT,,,,,
JBL,,,,,
JCI,,,,,
JKHY,,,,,
JNJ,,,,,
JNPR,,,,,
JPM,,,,,
K,,,,,
KDP,,,,,
KEY,,,,,
KIM,,,,,
KKR,,,,,
KLAC,,,,,
KMB,,,,,
KMX,,,,,
KO,,,,,
KR,,,,,
L,,,,,
LDOS,,,,,
LEN,,,,,
LH,,,,,
LHX,,,,,
LIN,,,,,
LKQ,,,,,
LLY,,,,,
LMT,,,,,
LNT,,,,,
LOW,,,,,
LRCX,,,,,
LULU,,,,,
LUV,,,,,
LVS,,,,,
LYB,,,,,
LYV,,,,,
MA,,,,,
MAA,,,,,
MAR,,,,,
MAS,,,,,
MCD,,,,,
MCHP,,,,,
MCK,,,,,
MCO,,,,,
MDLZ,,,,,
MDT,,,,,
MET,,,,,
MGM,,,,,
MHK,,,,,
MKC,,,,,
MKTX,,,,,
MLM,,,,,
MMC,,,,,
MMM,,,,,
MNST,,,,,
MO,,,,,
MOH,,,,,
MOS,,,,,
MPWR,,,,,
MRK,,,,,
MRO,,,,,
MS,,,,,
MSCI,,,,,
MSFT,,,,,
MSI,,,,,
MTB,,,,,
MTCH,,,,,
MTD,,,,,
MU,,,,,
NDAQ,,,,,
NDSN,,,,,
NEE,,,,,
NEM,,,,,
NFLX,,,,,
NI,,,,,
NKE,,,,,
NOC,,,,,
NRG,,,,,
NSC,,,,,
NTAP,,,,,
NTRS,,,,,
NUE,,,,,
NVDA,,,,,
NVR,,,,,
NXPI,,,,,
O,,,,,
ODFL,,,,,
OKE,,,,,
OMC,,,,,
ON,,,,,
ORCL,,,,,
ORLY,,,,,
OXY,,,,,
PARA,,,,,
PAYX,,,,,
PCAR,,,,,
PCG,,,,,
PEG,,,,,
PEP,,,,,
PFE,,,,,
PFG,,,,,
PG,,,,,
PGR,,,,,
PH,,,,,
PHM,,,,,
PKG,,,,,
PLD,,,,,
PM,,,,,
PNC,,,,,
PNR,,,,,
PNW,,,,,
PODD,,,,,
POOL,,,,,
PPG,,,,,
PPL,,,,,
PRU,,,,,
PSA,,,,,
PTC,,,,,
PWR,,,,,
QCOM,,,,,
RCL,,,,,
REG,,,,,
REGN,,,,,
RF,,,,,
RJF,,,,,
RL,,,,,
RMD,,,,,
ROK,,,,,
ROL,,,,,
ROP,,,,,
ROST,,,,,
RSG,,,,,
RTX,,,,,
RVTY,,,,,
SBAC,,,,,
SBUX,,,,,
SCHW,,,,,
SHW,,,,,
SJM,,,,,
SLB,,,,,
SMCI,,,,,
SNA,,,,,
SNPS,,,,,
SO,,,,,
SPG,,,,,
SPGI,,,,,
SRE,,,,,
STE,,,,,
STLD,,,,,
STT,,,,,
STX,,,,,
STZ,,,,,
SWK,,,,,
SWKS,,,,,
SYK,,,,,
SYY,,,,,
T,,,,,
TAP,,,,,
TDG,,,,,
TDY,,,,,
TECH,,,,,
TEL,,,,,
TER,,,,,
TFC,,,,,
TFX,,,,,
TGT,,,,,
TJX,,,,,
TMO,,,,,
TMUS,,,,,
TPR,,,,,
TRMB,,,,,
TROW,,,,,
TRV,,,,,
TSCO,,,,,
TSLA,,,,,
TSN,,,,,
TT,,,,,
TTWO,,,,,
TXN,,,,,
TXT,,,,,
TYL,,,,,
UAL,,,,,
UDR,,,,,
UHS,,,,,
ULTA,,,,,
UNH,,,,,
UNP,,,,,
UPS,,,,,
URI,,,,,
USB,,,,,
V,,,,,
VLO,,,,,
VMC,,,,,
VRSK,,,,,
VRSN,,,,,
VRTX,,,,,
VTR,,,,,
VTRS,,,,,
VZ,,,,,
WAB,,,,,
WAT,,,,,
WBA,,,,,
WBD,,,,,
WDC,,,,,
WEC,,,,,
WELL,,,,,
WFC,,,,,
WM,,,,,
WMB,,,,,
WMT,,,,,
WRB,,,,,
WST,,,,,
WTW,,,,,
WY,,,,,
WYNN,,,,,
XEL,,,,,
XOM,,,,,
YUM,,,,,
ZBH,,,,,
ZBRA,,,,,
