Portfolio: S&P 500 (Market-Cap-Weight)

Portfolio Statistics:
Annual_Return                  0.189804
Annual_Volatility              0.191527
Sharpe_Ratio                   0.991003
Historical_VaR_Breach_Rate     4.201681
LSTM_VaR_Breach_Rate           1.680672
Skewness                      -0.689549
Excess_Kurtosis               11.306520
Max_Drawdown                  -0.137878
VaR_95_Historical             -0.018553

Risk Metrics Summary:
Historical_VaR_Breach_Rate        4.201681
LSTM_VaR_Breach_Rate              1.680672
Avg_Historical_VaR               -0.015041
Avg_Historical_ES                -0.019819
Avg_LSTM_VaR                     -0.018708
Avg_LSTM_ES                      -0.023115
LSTM_Prediction_MAE               0.008614
LSTM_Prediction_MSE               0.000127
LSTM_Prediction_Std               0.007540
Actual_Returns_Std                0.008427
LSTM_VaR_Coverage_Ratio           0.336134
Historical_VaR_Coverage_Ratio     0.840336
LSTM_ES_vs_Historical_ES_Ratio    1.166307

Portfolio Composition:
       Stock    Weight  Risk_Contribution  Expected_Shortfall_Contribution  Weight_Percentage
DLR      DLR  0.001307           0.000022                        -0.000053           0.130673
TRV      TRV  0.001274           0.000018                        -0.000056           0.127367
NSC      NSC  0.001271           0.000022                        -0.000054           0.127144
PCAR    PCAR  0.001266           0.000021                        -0.000051           0.126608
ROP      ROP  0.001265           0.000018                        -0.000055           0.126453
PSA      PSA  0.001262           0.000018                        -0.000052           0.126189
SRE      SRE  0.001256           0.000017                        -0.000051           0.125608
MET      MET  0.001241           0.000024                        -0.000055           0.124115
GWW      GWW  0.001234           0.000021                        -0.000051           0.123439
BK        BK  0.001224           0.000021                        -0.000051           0.122445
JCI      JCI  0.001213           0.000019                        -0.000052           0.121278
CHTR    CHTR  0.001191           0.000022                        -0.000051           0.119148
NXPI    NXPI  0.001187           0.000031                        -0.000054           0.118657
FICO    FICO  0.001184           0.000025                        -0.000053           0.118418
PCG      PCG  0.001184           0.000037                        -0.000078           0.118364
CPRT    CPRT  0.001174           0.000019                        -0.000052           0.117437
AMP      AMP  0.001174           0.000024                        -0.000052           0.117373
AZO      AZO  0.001130           0.000017                        -0.000054           0.112997
DHI      DHI  0.001126           0.000026                        -0.000049           0.112643
ALL      ALL  0.001121           0.000017                        -0.000051           0.112145
PAYX    PAYX  0.001107           0.000016                        -0.000046           0.110675
AEP      AEP  0.001103           0.000014                        -0.000044           0.110331
MNST    MNST  0.001088           0.000021                        -0.000049           0.108782
CMI      CMI  0.001068           0.000020                        -0.000045           0.106778
O          O  0.001064           0.000017                        -0.000047           0.106445
D          D  0.001041           0.000014                        -0.000045           0.104133
PWR      PWR  0.001027           0.000021                        -0.000046           0.102665
FIS      FIS  0.001017           0.000017                        -0.000046           0.101699
AIG      AIG  0.001017           0.000022                        -0.000048           0.101666
COR      COR  0.001013           0.000016                        -0.000043           0.101292
FAST    FAST  0.001009           0.000017                        -0.000042           0.100865
OXY      OXY  0.001009           0.000028                        -0.000049           0.100862
LHX      LHX  0.001008           0.000016                        -0.000042           0.100773
MSCI    MSCI  0.001001           0.000019                        -0.000043           0.100114
ODFL    ODFL  0.000990           0.000019                        -0.000042           0.099000
AXON    AXON  0.000983           0.000030                        -0.000048           0.098311
LEN      LEN  0.000979           0.000023                        -0.000044           0.097868
PRU      PRU  0.000975           0.000020                        -0.000043           0.097549
NDAQ    NDAQ  0.000974           0.000015                        -0.000039           0.097375
CCI      CCI  0.000970           0.000014                        -0.000039           0.097038
HES      HES  0.000965           0.000025                        -0.000043           0.096528
KMB      KMB  0.000962           0.000011                        -0.000040           0.096182
AME      AME  0.000961           0.000015                        -0.000040           0.096079
TEL      TEL  0.000955           0.000016                        -0.000039           0.095466
VLO      VLO  0.000954           0.000023                        -0.000043           0.095448
PEG      PEG  0.000954           0.000013                        -0.000037           0.095372
DFS      DFS  0.000951           0.000022                        -0.000045           0.095091
F          F  0.000941           0.000020                        -0.000042           0.094124
STZ      STZ  0.000928           0.000016                        -0.000043           0.092773
KDP      KDP  0.000924           0.000013                        -0.000037           0.092378
EA        EA  0.000910           0.000018                        -0.000039           0.091034
KR        KR  0.000903           0.000015                        -0.000040           0.090295
DAL      DAL  0.000889           0.000023                        -0.000041           0.088932
IT        IT  0.000868           0.000015                        -0.000039           0.086754
GRMN    GRMN  0.000861           0.000015                        -0.000037           0.086094
EW        EW  0.000860           0.000018                        -0.000042           0.085967
XEL      XEL  0.000858           0.000011                        -0.000035           0.085799
CBRE    CBRE  0.000857           0.000019                        -0.000039           0.085726
GLW      GLW  0.000856           0.000016                        -0.000037           0.085624
VRSK    VRSK  0.000853           0.000012                        -0.000037           0.085294
EXC      EXC  0.000845           0.000012                        -0.000036           0.084535
LULU    LULU  0.000845           0.000022                        -0.000041           0.084515
ACGL    ACGL  0.000824           0.000012                        -0.000037           0.082413
CTSH    CTSH  0.000822           0.000015                        -0.000038           0.082242
YUM      YUM  0.000802           0.000012                        -0.000035           0.080195
VMC      VMC  0.000793           0.000016                        -0.000034           0.079336
SYY      SYY  0.000792           0.000013                        -0.000040           0.079197
EXR      EXR  0.000781           0.000013                        -0.000033           0.078074
MLM      MLM  0.000767           0.000015                        -0.000032           0.076651
MTB      MTB  0.000766           0.000015                        -0.000032           0.076642
HPQ      HPQ  0.000761           0.000016                        -0.000036           0.076097
GIS      GIS  0.000755           0.000009                        -0.000031           0.075485
LVS      LVS  0.000748           0.000018                        -0.000034           0.074798
HSY      HSY  0.000744           0.000009                        -0.000034           0.074398
NUE      NUE  0.000743           0.000015                        -0.000031           0.074290
IDXX    IDXX  0.000741           0.000014                        -0.000031           0.074139
RMD      RMD  0.000741           0.000014                        -0.000036           0.074124
DD        DD  0.000736           0.000014                        -0.000032           0.073587
HIG      HIG  0.000736           0.000015                        -0.000032           0.073551
MCHP    MCHP  0.000726           0.000015                        -0.000032           0.072613
IRM      IRM  0.000725           0.000013                        -0.000031           0.072518
WAB      WAB  0.000722           0.000014                        -0.000031           0.072164
ED        ED  0.000719           0.000009                        -0.000030           0.071863
HUM      HUM  0.000714           0.000014                        -0.000034           0.071402
RJF      RJF  0.000703           0.000013                        -0.000032           0.070267
AVB      AVB  0.000702           0.000011                        -0.000029           0.070191
CCL      CCL  0.000702           0.000021                        -0.000038           0.070169
EIX      EIX  0.000697           0.000010                        -0.000031           0.069688
ROK      ROK  0.000695           0.000013                        -0.000030           0.069491
ETR      ETR  0.000688           0.000010                        -0.000029           0.068775
FITB    FITB  0.000678           0.000015                        -0.000031           0.067778
WTW      WTW  0.000677           0.000010                        -0.000032           0.067741
BRO      BRO  0.000677           0.000009                        -0.000029           0.067694
TTWO    TTWO  0.000671           0.000015                        -0.000031           0.067102
WEC      WEC  0.000667           0.000008                        -0.000028           0.066675
EFX      EFX  0.000662           0.000011                        -0.000029           0.066196
UAL      UAL  0.000645           0.000020                        -0.000031           0.064497
LYV      LYV  0.000640           0.000015                        -0.000030           0.063988
DXCM    DXCM  0.000638           0.000019                        -0.000031           0.063754
GPN      GPN  0.000635           0.000012                        -0.000029           0.063503
TSCO    TSCO  0.000634           0.000012                        -0.000026           0.063352
EBAY    EBAY  0.000633           0.000012                        -0.000027           0.063295
CSGP    CSGP  0.000628           0.000012                        -0.000027           0.062832
ANSS    ANSS  0.000625           0.000011                        -0.000026           0.062524
CNC      CNC  0.000624           0.000014                        -0.000029           0.062402
EQR      EQR  0.000619           0.000010                        -0.000025           0.061909
CAH      CAH  0.000618           0.000010                        -0.000028           0.061835
PPG      PPG  0.000611           0.000010                        -0.000026           0.061148
STT      STT  0.000602           0.000012                        -0.000027           0.060209
MPWR    MPWR  0.000602           0.000016                        -0.000028           0.060164
K          K  0.000597           0.000007                        -0.000027           0.059740
NVR      NVR  0.000595           0.000011                        -0.000026           0.059487
DOV      DOV  0.000594           0.000010                        -0.000025           0.059370
ON        ON  0.000593           0.000017                        -0.000028           0.059315
LYB      LYB  0.000577           0.000013                        -0.000026           0.057737
CHD      CHD  0.000575           0.000007                        -0.000025           0.057454
DECK    DECK  0.000574           0.000015                        -0.000027           0.057405
VTR      VTR  0.000574           0.000012                        -0.000028           0.057392
BR        BR  0.000573           0.000008                        -0.000024           0.057272
PHM      PHM  0.000569           0.000014                        -0.000026           0.056859
AWK      AWK  0.000563           0.000008                        -0.000023           0.056273
HAL      HAL  0.000561           0.000015                        -0.000026           0.056106
HBAN    HBAN  0.000553           0.000012                        -0.000025           0.055283
TYL      TYL  0.000550           0.000010                        -0.000023           0.054971
ADM      ADM  0.000549           0.000009                        -0.000025           0.054871
EQT      EQT  0.000548           0.000015                        -0.000025           0.054819
DVN      DVN  0.000544           0.000016                        -0.000026           0.054360
MTD      MTD  0.000535           0.000009                        -0.000022           0.053545
DTE      DTE  0.000535           0.000007                        -0.000024           0.053499
PPL      PPL  0.000535           0.000007                        -0.000024           0.053496
AEE      AEE  0.000524           0.000007                        -0.000022           0.052377
ROL      ROL  0.000520           0.000008                        -0.000023           0.051995
FE        FE  0.000515           0.000008                        -0.000022           0.051460
SBAC    SBAC  0.000511           0.000008                        -0.000021           0.051136
CINF    CINF  0.000510           0.000008                        -0.000024           0.051035
HUBB    HUBB  0.000505           0.000008                        -0.000022           0.050522
BIIB    BIIB  0.000501           0.000012                        -0.000023           0.050149
EXPE    EXPE  0.000501           0.000014                        -0.000025           0.050067
WRB      WRB  0.000498           0.000007                        -0.000021           0.049789
TSN      TSN  0.000492           0.000009                        -0.000022           0.049236
EL        EL  0.000492           0.000010                        -0.000022           0.049227
PTC      PTC  0.000491           0.000010                        -0.000022           0.049102
WST      WST  0.000490           0.000009                        -0.000021           0.048993
ES        ES  0.000487           0.000007                        -0.000020           0.048747
WBD      WBD  0.000487           0.000012                        -0.000022           0.048653
ATO      ATO  0.000484           0.000006                        -0.000020           0.048381
WY        WY  0.000483           0.000009                        -0.000021           0.048341
ZBH      ZBH  0.000482           0.000008                        -0.000021           0.048192
IFF      IFF  0.000474           0.000008                        -0.000023           0.047376
TDY      TDY  0.000471           0.000008                        -0.000021           0.047130
STE      STE  0.000467           0.000007                        -0.000020           0.046737
WDC      WDC  0.000467           0.000013                        -0.000022           0.046701
LDOS    LDOS  0.000461           0.000008                        -0.000023           0.046110
NTRS    NTRS  0.000459           0.000008                        -0.000020           0.045879
WAT      WAT  0.000458           0.000008                        -0.000020           0.045783
STLD    STLD  0.000457           0.000011                        -0.000020           0.045655
ERIE    ERIE  0.000456           0.000007                        -0.000021           0.045554
PKG      PKG  0.000456           0.000008                        -0.000019           0.045553
CBOE    CBOE  0.000452           0.000007                        -0.000019           0.045197
CLX      CLX  0.000446           0.000006                        -0.000019           0.044636
STX      STX  0.000440           0.000011                        -0.000020           0.044041
FSLR    FSLR  0.000439           0.000015                        -0.000022           0.043859
CMS      CMS  0.000439           0.000005                        -0.000018           0.043852
BLDR    BLDR  0.000436           0.000015                        -0.000022           0.043639
CNP      CNP  0.000433           0.000007                        -0.000020           0.043263
ESS      ESS  0.000432           0.000007                        -0.000017           0.043230
IP        IP  0.000430           0.000008                        -0.000018           0.043029
ZBRA    ZBRA  0.000428           0.000010                        -0.000020           0.042818
BBY      BBY  0.000428           0.000011                        -0.000021           0.042799
MKC      MKC  0.000427           0.000006                        -0.000018           0.042709
COO      COO  0.000427           0.000007                        -0.000019           0.042681
LH        LH  0.000423           0.000007                        -0.000019           0.042318
DRI      DRI  0.000422           0.000009                        -0.000021           0.042154
LUV      LUV  0.000421           0.000009                        -0.000018           0.042056
MAA      MAA  0.000408           0.000006                        -0.000016           0.040793
