Portfolio: PCA Portfolio 3

Portfolio Statistics:
Annual_Return                                                          0.126868
Annual_Volatility                                                      0.182804
Sharpe_Ratio                                                           0.694012
Historical_VaR_Breach_Rate                                             4.481793
LSTM_VaR_Breach_Rate                                                   1.120448
Skewness                                                              -0.938706
Excess_Kurtosis                                                       15.996688
Max_Drawdown                                                          -0.145093
VaR_95_Historical                                                     -0.017468
Annual_Turnover               [0.014278014439476358, 0.016909961005680457, 0...
Mean_Explained_Variance                                                0.034447
Weight_Stability                                                            NaN
Max_Single_Stock_Exposure                                                   NaN

Risk Metrics Summary:
Historical_VaR_Breach_Rate        4.481793
LSTM_VaR_Breach_Rate              1.120448
Avg_Historical_VaR               -0.012110
Avg_Historical_ES                -0.014409
Avg_LSTM_VaR                     -0.016671
Avg_LSTM_ES                      -0.020120
LSTM_Prediction_MAE               0.006667
LSTM_Prediction_MSE               0.000067
LSTM_Prediction_Std               0.002407
Actual_Returns_Std                0.007171
LSTM_VaR_Coverage_Ratio           0.224090
Historical_VaR_Coverage_Ratio     0.896359
LSTM_ES_vs_Historical_ES_Ratio    1.396388

Portfolio Composition:
       Stock        Weight  Risk_Contribution  Expected_Shortfall_Contribution  Weight_Percentage
ITW      ITW  2.818530e-03       4.091561e-05                    -1.146257e-04           0.281853
MAA      MAA  2.790628e-03       4.102304e-05                    -1.137771e-04           0.279063
TJX      TJX  2.790626e-03       4.384748e-05                    -1.163753e-04           0.279063
STE      STE  2.773192e-03       4.387079e-05                    -1.163021e-04           0.277319
MSI      MSI  2.737922e-03       4.286411e-05                    -1.167470e-04           0.273792
MCD      MCD  2.726972e-03       3.190133e-05                    -1.216040e-04           0.272697
ADI      ADI  2.692043e-03       4.948247e-05                    -1.095173e-04           0.269204
NOC      NOC  2.687918e-03       3.875756e-05                    -1.160755e-04           0.268792
ADSK    ADSK  2.683272e-03       6.083916e-05                    -1.204611e-04           0.268327
SCHW    SCHW  2.682386e-03       5.550960e-05                    -1.165488e-04           0.268239
NFLX    NFLX  2.618476e-03       8.292841e-05                    -1.343529e-04           0.261848
STZ      STZ  2.615674e-03       4.615890e-05                    -1.221895e-04           0.261567
GPN      GPN  2.600222e-03       4.958543e-05                    -1.192376e-04           0.260022
PLD      PLD  2.592670e-03       4.472841e-05                    -1.120379e-04           0.259267
ORCL    ORCL  2.589560e-03       4.360732e-05                    -1.129834e-04           0.258956
MDLZ    MDLZ  2.586499e-03       3.242698e-05                    -1.034072e-04           0.258650
NTRS    NTRS  2.541511e-03       4.496227e-05                    -1.097701e-04           0.254151
ADM      ADM  2.540338e-03       4.196417e-05                    -1.137381e-04           0.254034
TTWO    TTWO  2.532116e-03       5.782175e-05                    -1.155507e-04           0.253212
CTAS    CTAS  2.516778e-03       3.978695e-05                    -1.104745e-04           0.251678
TXT      TXT  2.511781e-03       5.438015e-05                    -1.169550e-04           0.251178
BALL    BALL  2.505090e-03       4.008839e-05                    -1.048323e-04           0.250509
MTD      MTD  2.500384e-03       4.317034e-05                    -1.029794e-04           0.250038
AVY      AVY  2.492467e-03       4.249799e-05                    -1.079990e-04           0.249247
TRMB    TRMB  2.489724e-03       5.339116e-05                    -1.114099e-04           0.248972
O          O  2.480119e-03       3.877771e-05                    -1.113351e-04           0.248012
VRTX    VRTX  2.454376e-03       6.305494e-05                    -1.097284e-04           0.245438
IP        IP  2.423992e-03       4.628381e-05                    -1.040556e-04           0.242399
GD        GD  2.417722e-03       3.357907e-05                    -9.989728e-05           0.241772
T          T  2.401047e-03       3.107116e-05                    -1.068512e-04           0.240105
MRK      MRK  2.372258e-03       3.097639e-05                    -9.572718e-05           0.237226
WTW      WTW  2.369241e-03       3.337048e-05                    -1.120724e-04           0.236924
MU        MU  2.361933e-03       6.999091e-05                    -1.096760e-04           0.236193
PCAR    PCAR  2.346270e-03       3.915223e-05                    -9.450104e-05           0.234627
CSGP    CSGP  2.332921e-03       4.504791e-05                    -1.013435e-04           0.233292
KO        KO  2.326689e-03       2.504022e-05                    -1.010369e-04           0.232669
ABT      ABT  2.314929e-03       3.128879e-05                    -9.670541e-05           0.231493
PKG      PKG  2.303644e-03       3.991672e-05                    -9.813482e-05           0.230364
NEE      NEE  2.302849e-03       3.189086e-05                    -1.019824e-04           0.230285
BIIB    BIIB  2.298742e-03       5.460801e-05                    -1.047194e-04           0.229874
HAS      HAS  2.292957e-03       4.322219e-05                    -1.049322e-04           0.229296
ADBE    ADBE  2.292682e-03       4.620706e-05                    -1.048185e-04           0.229268
DOC      DOC  2.284362e-03       4.026343e-05                    -9.656784e-05           0.228436
AME      AME  2.270613e-03       3.498944e-05                    -9.593066e-05           0.227061
MAS      MAS  2.269126e-03       4.661140e-05                    -1.004023e-04           0.226913
MSCI    MSCI  2.262358e-03       4.349139e-05                    -9.843772e-05           0.226236
UNP      UNP  2.249711e-03       3.525338e-05                    -9.015121e-05           0.224971
