,Component_1,Component_2,Component_3,Component_4,Component_5
2015-05-08,0.3331790158155023,0.061312799556403896,0.034540800766999474,0.0227975205489328,0.016446493114614255
2015-05-11,0.33490796745116236,0.06130172374284603,0.034375799575109854,0.02275023585461232,0.01637254279996467
2015-05-12,0.33523155058751664,0.06143071868512811,0.03407785611116558,0.02275658204690462,0.01648627592472714
2015-05-13,0.333903488069598,0.060872089473657034,0.033993751664148676,0.022625042806948423,0.01655630202106917
2015-05-14,0.3335449044382324,0.0611731486516029,0.033868753197114305,0.022457002652613446,0.016530515623072922
2015-05-15,0.33477559676486646,0.061086247841808806,0.0337423717523812,0.02243162385147731,0.016454430924951684
2015-05-18,0.3337001939427223,0.06148009157065192,0.03386732249277101,0.022498349268371166,0.01645370164380193
2015-05-19,0.33380371696359235,0.06147311393013125,0.033888314984976596,0.022455423167042948,0.016556904326721723
2015-05-20,0.33354101758291915,0.0608861728281531,0.033863441919875344,0.022496383867820453,0.01659501909284929
2015-05-21,0.33244445429405456,0.06087621215885951,0.03395493537591337,0.02250489954884052,0.016591542876058872
2015-05-22,0.33184993933922613,0.060799572839062725,0.034079908610118476,0.02250355242478934,0.016627568607154065
2015-05-26,0.33173232174364425,0.060858867470959054,0.034089988902741133,0.022531097759791136,0.01642404236767375
2015-05-27,0.33332128814656903,0.06074785316914198,0.03401575255273339,0.02234745899487468,0.01639569002798988
2015-05-28,0.333969284435489,0.06077556859281397,0.03410458363312807,0.02237857616877627,0.016374670511541727
2015-05-29,0.33404723504175593,0.06084912460564016,0.03402934414891009,0.022400125245202705,0.0162963636848469
2015-06-01,0.33411445013213936,0.0606993865785238,0.03402498267857995,0.022343811160350748,0.016325473247960458
2015-06-02,0.3341653927969434,0.060570061153236786,0.03406699998874294,0.022392064443868948,0.016338121971723473
2015-06-03,0.3339302685899166,0.061196690589558705,0.0340404153838775,0.022399362311659187,0.016325706944487383
2015-06-04,0.3337208226494317,0.06199739272569417,0.03420839524793743,0.0225049423201043,0.016245536708612694
2015-06-05,0.33477497634565107,0.06196520218387032,0.03410476754467352,0.0225026401190275,0.016224160722981492
2015-06-08,0.33390173391535055,0.06295845210655156,0.034017794652892216,0.022440899123653064,0.016206047949832648
2015-06-09,0.33444442935509455,0.06267383691704805,0.03399703923489398,0.022444449295522344,0.01626203847697067
2015-06-10,0.33474366321251714,0.06235937569501864,0.034010977058961785,0.02258426709517094,0.01625109759597122
2015-06-11,0.33643711804387855,0.06224125542861687,0.033921505649493075,0.02253338088731281,0.016276965308616165
2015-06-12,0.3363113175569807,0.06237109426527148,0.03394431908193517,0.022426508792352248,0.01624988658070039
2015-06-15,0.3364143208483942,0.06230595970187618,0.0338437798008531,0.022438010433231043,0.016275214832744002
2015-06-16,0.3366241995720959,0.062258861713390054,0.033772824914973326,0.02243616521601347,0.016266932881370443
2015-06-17,0.3372778756734788,0.06233083987799817,0.03381691658495039,0.022459414034838233,0.016192656940708473
2015-06-18,0.3373758144150546,0.06242697499879071,0.03380251687819175,0.022495241157705716,0.01618230685378528
2015-06-19,0.3384080891741208,0.06245261415213764,0.03379156057183334,0.02238983027483113,0.01613483241395289
2015-06-22,0.3385655631973581,0.062166677611493706,0.033765627032374325,0.02238189708855651,0.016127863596255225
2015-06-23,0.33874599268265093,0.062362425011103215,0.033529548562436444,0.02243540594522527,0.01612146453408435
2015-06-24,0.33875666881628747,0.0626516438407313,0.03350095048299363,0.022479088267558525,0.01612581200505504
2015-06-25,0.33941611433518154,0.06235805589538559,0.03361436796815674,0.022470697269913374,0.01612539699052672
2015-06-26,0.3393702983158741,0.0623566392867569,0.03373716600261318,0.022453167899876354,0.01612393887921156
2015-06-29,0.33906221355244104,0.062463195456375346,0.033729537931592966,0.02256929354107641,0.016183902405368673
2015-06-30,0.3453452253150914,0.06212698031042804,0.03363761772772907,0.02229922483763685,0.01610818581810242
2015-07-01,0.3454095715938483,0.062207344299587734,0.0335674864499963,0.022298847551000422,0.01607182476544294
2015-07-02,0.34518302288894803,0.062206564817255096,0.033612117765546984,0.02236532204071085,0.016151471728476068
2015-07-06,0.34520222193865496,0.06231194928413318,0.03378680696738276,0.02234997240623663,0.016053381218638942
2015-07-07,0.3451112616444198,0.06215773590693458,0.033845439670895254,0.02233252227348785,0.01605313305924297
2015-07-08,0.34477046307821385,0.06265539855376281,0.033729529534298544,0.022256318891552124,0.015927883313334668
2015-07-09,0.34778223273407427,0.062475849355774736,0.033380849216769815,0.02209358787736373,0.015887305711422384
2015-07-10,0.34747918736890293,0.06267435477548583,0.03343999238630945,0.0220584311648099,0.015932220805638542
2015-07-13,0.3488093911402496,0.062281884705576246,0.033595714757934624,0.02200650169223678,0.015883657243748177
2015-07-14,0.34973072563679425,0.062332392938740024,0.033528334734680136,0.021958420617837572,0.015862369685785596
2015-07-15,0.34974946971794857,0.06228938933168539,0.03354811018009486,0.021971685770995227,0.01569665274078616
2015-07-16,0.3497251833703045,0.062325447191764145,0.03360721357551775,0.0220139259688744,0.01569023432220724
2015-07-17,0.34994525980066066,0.062345191103771944,0.033278638945943434,0.022081809553797765,0.015661354745725813
2015-07-20,0.348198536759437,0.06245083967397445,0.03344028664126541,0.022181071211312884,0.015648360805062267
2015-07-21,0.346682880200462,0.06257836512765032,0.033587055378402904,0.02228724316118945,0.01568108250444341
2015-07-22,0.34651366670680855,0.06255044469323866,0.0335091868001292,0.0222629713154606,0.01568773863120646
2015-07-23,0.34601387102019376,0.06265763755947412,0.033674516345700185,0.022196200284842534,0.015697344562171266
2015-07-24,0.34594653779192236,0.06263077659874687,0.033519506572844374,0.022272266399903432,0.015588739363039431
2015-07-27,0.3468228135373321,0.06296360643249886,0.033370040964664095,0.022264930759129883,0.015590094302848316
2015-07-28,0.3471493287036886,0.0634856333137828,0.03339087101492994,0.022291227336952896,0.015666269401374593
2015-07-29,0.34782418784288716,0.06326785854812653,0.033381120925060945,0.02240889401604271,0.015743098966849677
2015-07-30,0.348391873782253,0.06336418590089578,0.0333617459336186,0.02239839338841107,0.015810634758888074
2015-07-31,0.34799269578900516,0.06298534385099377,0.03308918905709671,0.0221446008690601,0.015810418949181938
2015-08-03,0.3424159866254357,0.06398403375413637,0.0332615423710155,0.022472153411450178,0.016002701810459756
2015-08-04,0.3424002000097896,0.0640871753941507,0.03342448606866543,0.022510696601835592,0.015926079265155022
2015-08-05,0.34117684211707366,0.06413845014341643,0.0334552524260611,0.022367797849866713,0.01582260487923427
2015-08-06,0.3395284691580386,0.06414711995849305,0.03352973079173434,0.022321988207284323,0.016180327798338192
2015-08-07,0.34052846964148076,0.06423035544821488,0.034182974862756996,0.022434548962956026,0.016094534695433454
2015-08-10,0.3399493691316767,0.06432064642572216,0.03401220822497038,0.022455388981888293,0.016149351856186277
2015-08-11,0.33942461491141496,0.06541476425145905,0.034029957259597,0.02237638853561587,0.01612734293798317
2015-08-12,0.3394395802298776,0.06608786849681657,0.03393311281392564,0.022239306005551625,0.016093042699425422
2015-08-13,0.33838574279212014,0.06614976207775461,0.034499145535023125,0.022258957510779664,0.016124845424085626
2015-08-14,0.33755097573000287,0.0662292878328122,0.03464134783442045,0.02223282109595986,0.016164107345583437
2015-08-17,0.3376695711200155,0.06621806216466955,0.03464469415947709,0.022263695757402176,0.01610337741296091
2015-08-18,0.33804147741656015,0.0662335737498913,0.034545055255359954,0.02236689209130461,0.016069108875223996
2015-08-19,0.3368101851722114,0.06548502180385582,0.03454787081024986,0.0224313891595487,0.015813629721812692
2015-08-20,0.3373434074723212,0.0654828552409141,0.034434092812767006,0.0223687163912432,0.015937521500266325
2015-08-21,0.34300562841544313,0.06540303885626254,0.03431502760001439,0.022151691222239676,0.015826908251642135
2015-08-24,0.35275926998044127,0.06460105774952277,0.03397605855128775,0.02173962201149795,0.01565475479528
2015-08-25,0.3738620845301723,0.06208061118292907,0.03267943275370423,0.0210895618612673,0.015326140681638258
2015-08-26,0.37492923839152187,0.06198106981986048,0.032661576619203665,0.02109333874701111,0.015057598698730551
2015-08-27,0.38601515763107985,0.06089130376190751,0.032399562894674896,0.020506035746278243,0.014704994898904197
2015-08-28,0.39144235481250267,0.06025845276494719,0.032367043586883845,0.020216887762911268,0.014649703726990442
2015-08-31,0.39106226740891287,0.060289660580488284,0.03242078380510486,0.02024340035872287,0.014619439032453324
2015-09-01,0.3912013419908541,0.06060469086871436,0.03248152822973997,0.020305485996001783,0.014506729943969308
2015-09-02,0.40053546877859136,0.05957216965290593,0.03186312969613674,0.019945959244426832,0.014288611997555494
2015-09-03,0.40307874569009683,0.05943220949115821,0.0319732569806324,0.019853904661766047,0.014265978054110296
2015-09-04,0.4031717407969932,0.0593884559178399,0.03197947358832975,0.01985785473113362,0.014270785596715116
2015-09-08,0.4053446690461877,0.05906143342414209,0.031884270779885954,0.019812471066739282,0.01419664645256966
2015-09-09,0.411814182518012,0.05843847978441867,0.031571107100278585,0.01948380079571757,0.01412049483506404
2015-09-10,0.413005181699834,0.05838483819699052,0.03145873610804845,0.01944970519529588,0.014071588837795537
2015-09-11,0.413055389996349,0.05823702255340125,0.031393837666802094,0.019385553860787032,0.013915537153030183
2015-09-14,0.4131984219697152,0.05847593419033059,0.031387311144823744,0.01941045217956159,0.01391159086914591
2015-09-15,0.4136938461635314,0.05805196009800261,0.0312659740662127,0.01912143643661915,0.01395964227734715
2015-09-16,0.4151128402714925,0.057896226864840396,0.031161669833124045,0.018871523957336194,0.013904279189165411
2015-09-17,0.4151265956196641,0.05776829672866388,0.03140604184196833,0.018801812729699403,0.013904483978767162
2015-09-18,0.4146469261733161,0.058410196705907566,0.031361643446973106,0.01898726872932009,0.013888439370565891
2015-09-21,0.41680547040162486,0.05831747639276042,0.031015928843644923,0.01893261309588413,0.013770157813220864
2015-09-22,0.41670449239118984,0.058110946660989427,0.03094738247451336,0.019261460409407526,0.013762933164295152
2015-09-23,0.41791252396610074,0.0579920194494388,0.030871847637945617,0.01916854059472006,0.013686148585815754
2015-09-24,0.41697617701880596,0.0583158168597254,0.031092363560163733,0.01919621500145322,0.01368394548882734
2015-09-25,0.4162753598254849,0.058225749430842244,0.031087312864995095,0.01925396398031958,0.013826348076115543
2015-09-28,0.41269081456253853,0.05819963659965416,0.031163793196427127,0.020179014545049574,0.013860856977843892
2015-09-29,0.41815188584811447,0.0579780004906178,0.030842886555794948,0.02014598910628493,0.01412073021596463
2015-09-30,0.4174606524553476,0.05784618539891403,0.030796347506798268,0.020118179372037522,0.014113826592772808
2015-10-01,0.4199921246832886,0.05748473270374506,0.030652746936043192,0.020067481115625174,0.013954650196533512
2015-10-02,0.41767900414407044,0.05699098424080135,0.030791180939335385,0.020120363446401217,0.014309962324759718
2015-10-05,0.4189944839763384,0.05666817234087407,0.031028241756023554,0.020603066990563978,0.014279839683567271
2015-10-06,0.42054035523448796,0.05644773850207738,0.03107815121218244,0.02067970401143165,0.014199421795428544
2015-10-07,0.4200510189577522,0.056727262277058495,0.031873860598392284,0.020720481437720487,0.014151961773281204
2015-10-08,0.4176612437055124,0.05659469227680694,0.03187074015409528,0.020769689951145424,0.014218860316867159
2015-10-09,0.4153057542159477,0.0566020152065349,0.0323462900466907,0.02088838667181788,0.01428325485405605
2015-10-12,0.4111964509748022,0.056709658656543344,0.03262189704161443,0.02114071643714333,0.014297559336591258
2015-10-13,0.41108490792804536,0.05590758743561823,0.03288475711109221,0.02064620254547904,0.01397349206051426
2015-10-14,0.41000817142164003,0.05562008752965349,0.033263622599487036,0.020514122890819424,0.014027166349712013
2015-10-15,0.4099080610685166,0.055703967483942796,0.033772888711874414,0.020655510923812976,0.014230191455396805
2015-10-16,0.41158973588680214,0.05555352069441522,0.033791699899357396,0.019908051486050897,0.014381569199782136
2015-10-19,0.41220213075142964,0.055568388067095104,0.033816008164796,0.01972678044471352,0.014389101249619044
2015-10-20,0.4112091811471821,0.05589200705756116,0.03409293292350705,0.019816736759173673,0.014424783828932938
2015-10-21,0.41001167490327317,0.055778688713360856,0.03424457060977686,0.020125593367206672,0.014450673434865164
2015-10-22,0.40634597938283235,0.05565493794429429,0.03443011872799536,0.0201135240726612,0.014496603696796437
2015-10-23,0.40577473922871016,0.05498804457194667,0.03449411390788883,0.020928096810652386,0.015053676834392002
2015-10-26,0.4038858359107572,0.05584680331156158,0.03496889020266471,0.02077445467593552,0.015038261382401712
2015-10-27,0.4033234004516814,0.055969067405198865,0.03523009869591284,0.020809707592116762,0.014985130416914651
2015-10-28,0.402276103251202,0.055908052254748215,0.035148657015783964,0.020805580152026798,0.014939711603845288
2015-10-29,0.39930577229167785,0.05696346843760839,0.03499912809720516,0.020725615964508205,0.01506693477634274
2015-10-30,0.39822778220051575,0.05683801449363358,0.034960138884988494,0.020655891443767223,0.015221980824846848
2015-11-02,0.3973696079967088,0.056397243740400595,0.035425241874093114,0.021076467154332593,0.015417279273954278
